Fortress of War|4.134328|2010
Elektra Luxx|4.118699|2010
Revenge of the Bridesmaids|4.105867|2010
Space Dogs|4.037707|2010
The Final|4.010976|2010
Pregnancy Pact|4.010044|2010
Letters to God|4.008071|2010
Confucius|3.927871|2010
Even the Rain|3.917709|2010
High School|3.905764|2010
Louis C.K.: Hilarious|3.882248|2010
Let the Bullets Fly|3.877376|2010
Hubble 3D|3.774768|2010
Cold Fish|3.764296|2010
The Pack|3.732458|2010
Student Services|3.732023|2010
The Client List|3.723562|2010
Coach|3.708888|2010
Father of Invention|3.688516|2010
Pok̩mon: Zoroark: Master of Illusions|3.686067|2010
Le Mac|3.685297|2010
The Santa Claus Gang|3.670624|2010
Neds|3.668167|2010
The Women on the 6th Floor|3.653474|2010
Jack Goes Boating|3.581434|2010
SoulBoy|3.569699|2010
Superman/Shazam!: The Return of Black Adam|3.566333|2010
Black Bread|3.546146|2010
My Girlfriend's Boyfriend|3.521957|2010
14 Blades|3.511346|2010
The Solitude of Prime Numbers|3.497322|2010
The Bang Bang Club|3.468202|2010
Reign of Assassins|3.442786|2010
The Tortured|3.436769|2010
A Cat in Paris|3.40682|2010
La nostra vita|3.4068|2010
Beautiful Lies|3.405305|2010
The Nutcracker: The Untold Story|3.394928|2010
Uncle Boonmee Who Can Recall His Past Lives|3.380308|2010
DC Showcase: Jonah Hex|3.356801|2010
Red: Werewolf Hunter|3.330769|2010
The Graves|3.321312|2010
Red Hill|3.320135|2010
Boy|3.308503|2010
The Dead|3.298062|2010
Food Matters|3.292247|2010
Dream Home|3.26531|2010
A Better Tomorrow|3.253841|2010
Kiss Me Again|3.253024|2010
Needle|3.242613|2010
Tony|3.23304|2010
The Extra Man|3.18614|2010
Sauna|3.176768|2010
Happy Family|3.176441|2010
The Unjust|3.171362|2010
Crazy on the Outside|3.170053|2010
The Italian|3.157512|2010
I'm Here|3.143801|2010
The Assault|3.141456|2010
Amador|3.119413|2010
Mysteries of Lisbon|3.115988|2010
Basilicata coast to coast|3.107762|2010
71: Into the Fire|3.106814|2010
The Lost Future|3.099622|2010
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)|3.063163|2010
The Search for Santa Paws|3.049589|2010
Red White & Blue|3.039909|2010
El Infierno|3.030907|2010
What Men Talk About|3.022666|2010
The Clink of Ice|3.010211|2010
Listen to Your Heart|2.984894|2010
Young Goethe in Love|2.981081|2010
Essential Killing|2.972178|2010
Shadow|2.949394|2010
Kidnapped|2.936334|2010
The Perfect Date|2.933283|2010
PEEPLI [Live]|2.927226|2010
Vincent Wants to Sea|2.921322|2010
Doctor Who: A Christmas Carol|2.906731|2010
Submarino|2.898859|2010
Black Heaven|2.888787|2010
Ultramarines: A Warhammer 40,000 Movie|2.88558|2010
Gun|2.834545|2010
Sundays at Tiffany's|2.823378|2010
Tiny Furniture|2.799356|2010
Shank|2.792314|2010
White Material|2.775816|2010
Seven Days|2.775577|2010
Haunters|2.77211|2010
Alien vs. Ninja|2.764059|2010
Across the Line: The Exodus of Charlie Wright|2.761004|2010
King of Triads|2.753066|2010
Rabies|2.743079|2010
Chain Letter|2.726794|2010
Gunless|2.726078|2010
Simple Simon|2.721449|2010
Sherlock Holmes|2.719197|2010
Waiting for 'Superman'|2.718721|2010
Attenberg|2.7151|2010
Bruce Lee, My Brother|2.712488|2010
Poetry|2.706614|2010
The Silence|2.698707|2010
Paris Express|2.689328|2010
Dear Mr. Gacy|2.671647|2010
Repeaters|2.668794|2010
Babies|2.667622|2010
Growth|2.660436|2010
Mardock Scramble: The First Compression|2.640175|2010
No Mercy|2.636798|2010
Cat Shit One|2.633938|2010
Friendship!|2.631214|2010
Waste Land|2.627643|2010
Mr. Nice|2.611337|2010
Road Train|2.589064|2010
Kevin Hart: Seriously Funny|2.584698|2010
Why Did I Get Married Too?|2.576815|2010
Milf|2.576011|2010
Ice Quake|2.567848|2010
Brighton Rock|2.566211|2010
Lemmy|2.561829|2010
YellowBrickRoad|2.554659|2010
Giallo|2.542612|2010
Goblin|2.541932|2010
The First Grader|2.536406|2010
I Don't Want to Go Back Alone|2.533384|2010
Birdemic: Shock and Terror|2.52968|2010
Klown|2.521782|2010
A Little Help|2.518077|2010
Never Sleep Again: The Elm Street Legacy|2.48821|2010
FRED: The Movie|2.483323|2010
Barry Munday|2.476706|2010
The Good Witch's Gift|2.472998|2010
Aftershock|2.467618|2010
The People vs. George Lucas|2.466945|2010
Freakonomics|2.444847|2010
How I Ended This Summer|2.444839|2010
Love Crime|2.440568|2010
Devil's Playground|2.436746|2010
Sharktopus|2.429777|2010
Jim Jefferies: Alcoholocaust|2.410982|2010
With Love... from the Age of Reason|2.410173|2010
Happy People: A Year in the Taiga|2.409076|2010
A Somewhat Gentle Man|2.408749|2010
Mandrake|2.390484|2010
Thorne: Scaredycat|2.385758|2010
Third Star|2.380795|2010
Kill Katie Malone|2.369012|2010
When We Leave|2.356342|2010
Rammbock: Berlin Undead|2.343663|2010
Icarus|2.342446|2010
Armadillo|2.333307|2010
Group Sex|2.321234|2010
Bloomington|2.312106|2010
Me, Them And Lara|2.303734|2010
F|2.299942|2010
How to Make Love to a Woman|2.291534|2010
The Tree|2.288156|2010
Ways to Live Forever|2.287183|2010
The Silent House|2.266539|2010
Fat, Sick & Nearly Dead|2.255345|2010
The Virginity Hit|2.235068|2010
An Invisible Sign|2.23481|2010
Loft|2.224816|2010
The Frankenstein Syndrome|2.219179|2010
For Colored Girls|2.216959|2010
A Fork in the Road|2.203307|2010
Frankie & Alice|2.178315|2010
Guzaarish|2.175691|2010
Nice Guy Johnny|2.166081|2010
Comedy Central Roast of David Hasselhoff|2.1604|2010
The Princess of Montpensier|2.156145|2010
Skateland|2.150786|2010
Tom and Jerry Meet Sherlock Holmes|2.149829|2010
Scooby-Doo! Camp Scare|2.138263|2010
Sennentuntschi|2.136975|2010
Leap Year|2.118561|2010
Beautiful Boy|2.114833|2010
The Lost Thing|2.113402|2010
Chico & Rita|2.099105|2010
The Presence|2.086145|2010
Abandoned|2.085279|2010
Come Undone|2.08337|2010
The Secret Diaries of Miss Anne Lister|2.079269|2010
Van Gogh: Painted with Words|2.071003|2010
Cropsey|2.065029|2010
Lost Boys: The Thirst|2.058133|2010
Monsterwolf|2.05618|2010
I Hate Luv Storys|2.045046|2010
Black Ransom|2.041582|2010
The Big Picture|2.03027|2010
I Love You Too|2.027757|2010
Genitori & figli:) - Agitare bene prima dell'uso|2.025901|2010
Six Degrees of Celebration|2.025505|2010
Darling|2.023483|2010
With Great Power: The Stan Lee Story|2.017343|2010
Les Mis̩rables in Concert - The 25th Anniversary|2.0026|2010
Into the Universe with Stephen Hawking|1.998564|2010
On Tour|1.99304|2010
Film Socialisme|1.992959|2010
As Good As Dead|1.984924|2010
Housefull|1.974336|2010
Udaan|1.971658|2010
Ip Man 2|1.9602|2010
Trigun: Badlands Rumble|1.959207|2010
Ao: The Last Hunter|1.955611|2010
Every Day|1.954863|2010
Wasted on the Young|1.948284|2010
Saint|1.947114|2010
Protect and Serve|1.936988|2010
Silent Souls|1.935128|2010
Wild Things: Foursome|1.932851|2010
2010: Moby Dick|1.931324|2010
Midnight FM|1.924528|2010
Four Lovers|1.919481|2010
Radio Free Albemuth|1.91768|2010
Carancho|1.916629|2010
A Little Thing Called Love|1.910328|2010
Comme les 5 doigts de la main|1.909648|2010
The Big I Am|1.903759|2010
Die|1.898197|2010
Lapland Odyssey|1.885261|2010
We Are What We Are|1.881046|2010
Echoes of the Rainbow|1.867779|2010
Primal|1.851557|2010
Psych:9|1.849045|2010
Karthik Calling Karthik|1.847916|2010
Mobile Suit Gundam 00: A Wakening of the Trailblazer|1.838247|2010
Bloodworth|1.834093|2010
The Perfect Game|1.830829|2010
Four Times|1.82925|2010
A Distant Neighborhood|1.824977|2010
The Robber|1.824255|2010
Anjaana Anjaani|1.82294|2010
Princess Kaiulani|1.818296|2010
Cold Prey III|1.817929|2010
Tuesday, After Christmas|1.812899|2010
Eyyvah Eyvah|1.806372|2010
No and Me|1.806222|2010
Costa Rican Summer|1.796242|2010
Life Cycles|1.784965|2010
Montevideo, God Bless You!|1.774187|2010
Time of Eve: The Movie|1.768157|2010
Illegal|1.764981|2010
Ocean Heaven|1.758492|2010
Tees Maar Khan|1.754362|2010
The Special Relationship|1.753332|2010
Wrong Side of Town|1.751625|2010
Holy Rollers|1.747257|2010
Mammuth|1.744295|2010
Halo Legends|1.731527|2010
Hyenas|1.731322|2010
Elena Undone|1.715955|2010
Fracture|1.706097|2010
Mr. Dough and the Egg Princess|1.695936|2010
The Bunny Game|1.687991|2010
Dinoshark|1.681603|2010
The Rig|1.677714|2010
Double Wedding|1.674862|2010
42 One Dream Rush|1.672234|2010
Flicka 2|1.669915|2010
Avatar: Creating the World of Pandora|1.660009|2010
Frankenstein|1.659883|2010
Welcome to the Space Show|1.653651|2010
Riverworld|1.650176|2010
Hello Stranger|1.649488|2010
Archipelago|1.644963|2010
Luster|1.641912|2010
DMT: The Spirit Molecule|1.641261|2010
Tabloid|1.640733|2010
Head Over Heels|1.639481|2010
Cold Weather|1.636778|2010
The Traveler|1.628307|2010
Thorne: Sleepyhead|1.609321|2010
Meet Monica Velour|1.608163|2010
LEGO: The Adventures of Clutch Powers|1.605238|2010
Classic Albums: Black Sabbath - Paranoid|1.602628|2010
Sound of Noise|1.600787|2010
The 7 Adventures of Sinbad|1.599535|2010
Hunting Season|1.59006|2010
Te presento a Laura|1.586898|2010
Paradox|1.585493|2010
Space Chimps 2: Zartog Strikes Back|1.585311|2010
Ice Castles|1.579212|2010
Bio Slime|1.574947|2010
Au Revoir Taipei|1.574303|2010
Prowl|1.573101|2010
Mr. Hush|1.553125|2010
DC Showcase: Green Arrow|1.5528|2010
American: The Bill Hicks Story|1.550254|2010
Spud|1.539813|2010
Nostalgia for the Light|1.529266|2010
Quantum Apocalypse|1.51939|2010
The Last Rites of Ransom Pride|1.516498|2010
It's a Wonderful Afterlife|1.513042|2010
Inadequate People|1.50953|2010
The Tillman Story|1.509056|2010
Dead Space: Aftermath|1.507249|2010
If I Want to Whistle, I Whistle|1.498166|2010
Salvage|1.494051|2010
Badmaash Company|1.490661|2010
The Dark Lurking|1.484663|2010
Hotel Hell Vacation|1.481633|2010
Farsan|1.480269|2010
Love in a Puff|1.47831|2010
Jos̩ & Pilar|1.474159|2010
Kill Me Please|1.472867|2010
Blades of Blood|1.471126|2010
Astral City: A Spiritual Journey|1.466605|2010
Terror Trap|1.466318|2010
Love & Slaps|1.464137|2010
A Quiet Life|1.462024|2010
In Their Sleep|1.461445|2010
The Violent Kind|1.45965|2010
Dark World|1.453293|2010
A Nanny for Christmas|1.449353|2010
The Stoker|1.444925|2010
Night Catches Us|1.437125|2010
Gallants|1.436918|2010
The First Men in the Moon|1.435661|2010
Moss|1.434476|2010
LEGO Hero Factory: Rise of the Rookies|1.427992|2010
L'amour fou|1.426909|2010
Traceless|1.426807|2010
From Me To You|1.42545|2010
The River Why|1.421703|2010
Tri bogatyrya i Shamakhanskaya tsaritsa|1.412333|2010
Shadows & Lies|1.408602|2010
Time Traveller: The Girl Who Leapt Through Time|1.388467|2010
My Joy|1.380163|2010
Les Invit̩s de mon p̬re|1.377949|2010
Fire of Conscience|1.377678|2010
What if...|1.365366|2010
Janie Jones|1.363957|2010
Buddha Mountain|1.357992|2010
Secrets in the Walls|1.356312|2010
L.A. Zombie|1.349654|2010
The Samurai of Ayothaya|1.348011|2010
Trust Me|1.342536|2010
Knucklehead|1.334026|2010
Hello Ghost|1.326652|2010
Cherry Tree Lane|1.318859|2010
Yes or No|1.316925|2010
A Boy and His Samurai|1.315194|2010
Pete Smalls Is Dead|1.311545|2010
A Marine Story|1.31098|2010
Strapped|1.307499|2010
The Other Dumas|1.30528|2010
Bill Burr: Let It Go|1.296848|2010
Among Wolves|1.291609|2010
Bestseller|1.289258|2010
A Horrible Way to Die|1.286687|2010
Zero 2|1.285726|2010
The Hammer|1.282498|2010
The Maze|1.280497|2010
Long Pigs|1.277626|2010
The Incite Mill|1.277397|2010
The Final Storm|1.270832|2010
Honey|1.258706|2010
When Love Is Not Enough: The Lois Wilson Story|1.25742|2010
Band Baaja Baaraat|1.253675|2010
Endure|1.251192|2010
So Hard to Forget|1.249126|2010
Parked|1.248383|2010
Fake|1.243187|2010
The Chosen One|1.241028|2010
Cyrano Agency|1.240166|2010
The Stranger|1.23558|2010
The Skin of Sorrow|1.235341|2010
Agnosia|1.233579|2010
Spork|1.233222|2010
Anton Chekhov's The Duel|1.22775|2010
Into Eternity|1.227597|2010
Siren|1.227119|2010
Small Town Murder Songs|1.226856|2010
Wreckage|1.223968|2010
The Last Godfather|1.223071|2010
We Are from the Future 2|1.218959|2010
Africa United|1.216629|2010
Love and Distrust|1.213417|2010
Secret Reunion|1.209968|2010
The Bannen Way|1.209344|2010
The Colour Out of Space|1.206502|2010
Amigo|1.202218|2010
Turquaze|1.201392|2010
Triple Tap|1.199366|2010
Bo|1.196946|2010
Bitter Feast|1.194121|2010
The Legend Is Born: Ip Man|1.191096|2010
Pixels|1.190657|2010
#1 Cheerleader Camp|1.190427|2010
Lights Out|1.187577|2010
Peep World|1.185288|2010
8213: Gacy House|1.184452|2010
Toilet|1.180627|2010
Red Eagle|1.175345|2010
Bill Cunningham New York|1.172363|2010
Outside the Law|1.170864|2010
Rock Slyde|1.169769|2010
PG 16...|1.168623|2010
Burning Palms|1.165191|2010
A Heartland Christmas|1.163721|2010
Raavan|1.160169|2010
Macbeth|1.159167|2010
Ricky Gervais Live 4: Science|1.154887|2010
Once Upon a Time in Mumbaai|1.147502|2010
Adventures of a Teenage Dragonslayer|1.13577|2010
Ishqiya|1.135644|2010
Everything Will Be Fine|1.135274|2010
Singam|1.132835|2010
Bruc, the Manhunt|1.132569|2010
Winning Time: Reggie Miller vs. The New York Knicks|1.130406|2010
The Poll Diaries|1.1303|2010
Territories|1.126036|2010
Open House|1.124815|2010
The Trial|1.124287|2010
The Stool Pigeon|1.123992|2010
Mozart's Sister|1.122997|2010
Trader Games|1.122716|2010
Oki's Movie|1.114075|2010
All About Evil|1.112225|2010
Locked Down|1.110275|2010
Killjoy 3|1.108782|2010
Carrie Fisher: Wishful Drinking|1.104944|2010
Beck|1.098231|2010
Insane|1.097638|2010
Long Way Down|1.097027|2010
The Mosquito Net|1.093239|2010
City Under Siege|1.087389|2010
Uninhabited|1.084162|2010
Locked In|1.083781|2010
3nity|1.079744|2010
Late Autumn|1.077252|2010
Backlight|1.072862|2010
A Thousand Times Stronger|1.072412|2010
Neon Flesh|1.06874|2010
The Wildest Dream|1.064957|2010
Skeletons|1.064684|2010
Hold Up|1.062198|2010
Dead Awake|1.058119|2010
Man of Vendetta|1.057285|2010
I Am Comic|1.051781|2010
Chico Xavier|1.051565|2010
My Dear Desperado|1.049484|2010
Phas Gaye Re Obama|1.047111|2010
Vengeance Can Wait|1.045343|2010
Raajneeti|1.043552|2010
Amish Grace|1.040278|2010
The Erotic Man|1.038676|2010
